tour_id,survey_tour_id,person_id,household_id,tour_type,tour_category,destination,origin,start,end,tour_mode,survey_parent_tour_id,parent_tour_id,composition,tdd,atwork_subtour_frequency,stop_frequency
335050,24490,8171,191024670,work,mandatory,32547.0,1263,6.0,6.0,WALK_LOC,0,,,19,no_subtours,0out_0in
335091,24500,8172,191024673,work,mandatory,21300.0,32534,7.0,7.0,WALK_LOC,0,,,37,no_subtours,0out_0in
335870,24580,8191,191024929,work,mandatory,32533.0,25001,7.0,7.0,WALK_LOC,0,,,37,no_subtours,0out_0in
335911,24590,8192,191024929,work,mandatory,33050.0,25001,7.0,7.0,WALK_LOC,0,,,37,no_subtours,0out_3in
336034,24600,8195,191024974,work,mandatory,23669.0,34607,7.0,7.0,DRIVEALONEFREE,0,,,37,no_subtours,3out_1in
336075,24610,8196,191024980,work,mandatory,17575.0,11085,9.0,9.0,WALK,0,,,70,no_subtours,2out_0in
336116,24630,8197,191025006,work,mandatory,22438.0,28896,7.0,7.0,WALK_LOC,0,,,37,no_subtours,0out_0in
336239,24700,8200,191025033,work,mandatory,10160.0,59602,5.0,5.0,DRIVEALONEFREE,0,,,0,no_subtours,0out_0in
336280,24730,8201,191025033,work,mandatory,54985.0,59602,9.0,9.0,DRIVEALONEFREE,0,,,70,no_subtours,0out_0in
336281,24740,8201,191025033,work,mandatory,54985.0,59602,13.0,13.0,DRIVEALONEFREE,0,,,124,no_subtours,0out_1in
336395,24790,8204,191025047,school,mandatory,14475.0,18817,7.0,7.0,WALK_LOC,0,,,37,,0out_0in
336403,24800,8204,191025047,work,mandatory,19993.0,18817,19.0,19.0,SHARED2FREE,0,,,175,no_subtours,0out_0in
336444,24810,8205,191025065,work,mandatory,34641.0,4362,7.0,7.0,WALK_LOC,0,,,37,no_subtours,0out_1in
336526,24820,8207,191025169,work,mandatory,8548.0,45031,5.0,5.0,DRIVEALONEFREE,0,,,0,no_subtours,0out_1in
336731,24830,8212,191025304,work,mandatory,4146.0,21007,8.0,8.0,WALK,0,,,54,no_subtours,3out_3in
337387,24850,8228,191025431,work,mandatory,60953.0,58943,8.0,8.0,SHARED2FREE,0,,,54,no_subtours,1out_1in
337420,24880,8229,191025431,school,mandatory,16758.0,58943,12.0,12.0,DRIVEALONEFREE,0,,,112,,0out_2in
337502,24890,8231,191025447,school,mandatory,25319.0,29671,5.0,5.0,WALK_LOC,0,,,0,,1out_3in
337592,24900,8233,191025482,work,mandatory,55610.0,62375,6.0,6.0,SHARED2FREE,0,,,19,no_subtours,1out_1in
337756,24950,8237,191025494,work,mandatory,15449.0,30402,6.0,6.0,WALK_LOC,0,,,19,no_subtours,0out_2in
337838,24970,8239,191025513,work,mandatory,32545.0,874,7.0,7.0,WALK_LOC,0,,,37,no_subtours,0out_2in
338002,24990,8243,191025567,work,mandatory,21821.0,33091,10.0,10.0,WALK_LOC,0,,,85,no_subtours,1out_0in
338043,25000,8244,191025627,work,mandatory,21190.0,27163,7.0,7.0,WALK_LOC,0,,,37,no_subtours,0out_0in
338084,25020,8245,191025627,work,mandatory,23258.0,27163,8.0,8.0,WALK_LOC,0,,,54,no_subtours,1out_3in
338330,25030,8251,191025769,work,mandatory,14188.0,30446,8.0,8.0,WALK_LOC,0,,,54,no_subtours,0out_0in
338371,25040,8252,191025769,work,mandatory,9528.0,30446,8.0,8.0,WALK_LOC,0,,,54,no_subtours,1out_1in
339150,25100,8271,191026014,work,mandatory,58874.0,21436,14.0,14.0,DRIVEALONEFREE,0,,,135,no_subtours,2out_0in
339191,25110,8272,191026014,work,mandatory,14942.0,7697,11.0,11.0,DRIVEALONEFREE,0,,,99,no_subtours,0out_0in
339232,25130,8273,191026014,work,mandatory,20917.0,21436,7.0,7.0,DRIVEALONEFREE,0,,,37,no_subtours,0out_0in
339437,25140,8278,191026063,work,mandatory,7118.0,17469,7.0,7.0,DRIVEALONEFREE,0,,,37,no_subtours,0out_1in
339478,25150,8279,191026063,work,mandatory,15889.0,17469,7.0,7.0,DRIVEALONEFREE,0,,,37,no_subtours,0out_1in
339806,25160,8287,191026353,work,mandatory,27082.0,10961,7.0,7.0,WALK_LOC,0,,,37,no_subtours,0out_0in
340175,25200,8296,191026405,work,mandatory,8203.0,8203,11.0,11.0,BIKE,0,,,99,no_subtours,0out_1in
340216,25220,8297,191026431,work,mandatory,6697.0,6637,6.0,6.0,DRIVEALONEFREE,0,,,19,no_subtours,0out_1in
340544,25230,8305,191026618,work,mandatory,18052.0,18817,9.0,9.0,WALK_LOC,0,,,70,no_subtours,1out_0in
341036,25280,8317,191026699,work,mandatory,14274.0,21171,10.0,10.0,DRIVEALONEFREE,0,,,85,no_subtours,0out_0in
341528,25290,8329,191026798,work,mandatory,25633.0,7699,6.0,6.0,SHARED3FREE,0,,,19,no_subtours,0out_1in
342102,25390,8343,191026969,work,mandatory,62024.0,61445,7.0,7.0,SHARED2FREE,0,,,37,no_subtours,1out_0in
342103,25410,8343,191026969,work,mandatory,62024.0,61445,13.0,13.0,SHARED2FREE,0,,,124,no_subtours,1out_1in
342143,25420,8344,191026969,work,mandatory,55321.0,61445,7.0,7.0,SHARED2FREE,0,,,37,no_subtours,1out_3in
342922,25450,8363,191027189,work,mandatory,24217.0,5892,9.0,9.0,WALK_LOC,0,,,70,no_subtours,0out_0in
343045,25460,8366,191027280,work,mandatory,26886.0,12624,7.0,7.0,SHARED2FREE,0,,,37,no_subtours,0out_3in
343086,25470,8367,191027280,work,mandatory,21583.0,20215,6.0,6.0,DRIVEALONEFREE,0,,,19,no_subtours,0out_0in
343209,25480,8370,191027319,work,mandatory,24072.0,37714,6.0,6.0,WALK_FRY,0,,,19,no_subtours,0out_1in
343619,25490,8380,191027464,work,mandatory,3367.0,12849,8.0,8.0,DRIVEALONEFREE,0,,,54,no_subtours,0out_0in
344144,25540,8393,191027724,school,mandatory,7925.0,14627,7.0,7.0,WALK_LOC,0,,,37,,0out_0in
344234,25560,8395,191027775,work,mandatory,12555.0,11752,9.0,9.0,SHARED2FREE,0,,,70,no_subtours,1out_1in
345013,25600,8414,191028043,work,mandatory,15093.0,18822,12.0,12.0,DRIVEALONEFREE,0,,,112,no_subtours,0out_3in
345054,25610,8415,191028043,work,mandatory,16876.0,18822,7.0,7.0,DRIVEALONEFREE,0,,,37,no_subtours,0out_0in
345136,25630,8417,191028049,work,mandatory,22294.0,23525,8.0,8.0,SHARED3FREE,0,,,54,no_subtours,0out_3in
345710,25670,8431,191028205,work,mandatory,15447.0,3634,5.0,5.0,WALK,0,,,0,no_subtours,1out_0in
346120,25730,8441,191028394,work,mandatory,12257.0,2912,10.0,10.0,WALK_LOC,0,,,85,no_subtours,1out_0in
346202,25740,8443,191028411,work,mandatory,15942.0,21975,11.0,11.0,SHARED2FREE,0,,,99,no_subtours,1out_0in
346366,25760,8447,191028446,work,mandatory,21955.0,24216,6.0,6.0,WALK_LR,0,,,19,no_subtours,3out_2in
346407,25770,8448,191028446,work,mandatory,20528.0,19437,5.0,5.0,DRIVEALONEFREE,0,,,0,no_subtours,1out_1in
346448,25790,8449,191028447,work,mandatory,57195.0,56956,5.0,5.0,DRIVEALONEFREE,0,,,0,no_subtours,0out_0in
346489,25800,8450,191028447,work,mandatory,65867.0,56956,5.0,5.0,DRIVEALONEFREE,0,,,0,no_subtours,1out_0in
346858,25840,8459,191028508,work,mandatory,3634.0,20628,7.0,7.0,WALK,0,,,37,no_subtours,0out_1in
347186,25860,8467,191028560,work,mandatory,59970.0,61157,5.0,5.0,DRIVEALONEFREE,0,,,0,no_subtours,0out_3in
347473,25900,8474,191028611,work,mandatory,44277.0,44012,10.0,10.0,BIKE,0,,,85,no_subtours,0out_0in
347760,25970,8481,191028668,work,mandatory,28807.0,36572,5.0,5.0,WALK_FRY,0,,,0,no_subtours,1out_0in
347842,26010,8483,191028679,work,mandatory,21003.0,22716,6.0,6.0,WALK_LOC,0,,,19,no_subtours,0out_1in
348539,26060,8500,191028826,work,mandatory,23402.0,60562,6.0,6.0,DRIVEALONEFREE,0,,,19,no_subtours,3out_1in
348826,26090,8507,191028907,work,mandatory,14073.0,3892,8.0,8.0,DRIVEALONEFREE,0,,,54,no_subtours,0out_1in
348867,26100,8508,191028907,work,mandatory,21642.0,3892,8.0,8.0,WALK,0,,,54,no_subtours,0out_0in
349851,26160,8532,191029037,work,mandatory,18864.0,20614,10.0,10.0,WALK,0,,,85,no_subtours,1out_0in
350056,26200,8537,191029117,work,mandatory,31747.0,15689,7.0,7.0,WALK,0,,,37,no_subtours,0out_0in
350343,26230,8544,191029206,work,mandatory,21776.0,28578,7.0,7.0,WALK_LOC,0,,,37,no_subtours,0out_1in
350384,26240,8545,191029206,work,mandatory,15983.0,28578,8.0,8.0,DRIVEALONEFREE,0,,,54,no_subtours,0out_0in
350507,26290,8548,191029275,work,mandatory,7037.0,18807,7.0,7.0,WALK_LOC,0,,,37,no_subtours,0out_0in
350753,26310,8554,191029340,work,mandatory,14260.0,24574,7.0,7.0,SHARED3FREE,0,,,37,no_subtours,1out_3in
350868,26350,8557,191029358,school,mandatory,10315.0,7422,7.0,7.0,SHARED2FREE,0,,,37,,0out_0in
351491,26460,8572,191029548,work,mandatory,25900.0,25895,6.0,6.0,WALK,0,,,19,no_subtours,0out_0in
351532,26490,8573,191029580,work,mandatory,33878.0,3185,7.0,7.0,WALK,0,,,37,no_subtours,0out_1in
351573,26510,8574,191029584,work,mandatory,20072.0,6668,6.0,6.0,WALK_LOC,0,,,19,no_subtours,0out_0in
351614,26520,8575,191029584,work,mandatory,1029.0,6668,7.0,7.0,SHARED3FREE,0,,,37,no_subtours,1out_3in
351647,26530,8576,191029584,school,mandatory,17046.0,6668,7.0,7.0,SHARED3FREE,0,,,37,,0out_0in
351983,26550,8584,191029719,work,mandatory,14439.0,27481,9.0,9.0,DRIVEALONEFREE,0,,,70,no_subtours,0out_1in
352106,26590,8587,191029740,work,mandatory,34769.0,15437,7.0,7.0,Other,0,,,37,no_subtours,1out_0in
352139,26610,8588,191029740,school,mandatory,18218.0,15437,7.0,7.0,SHARED2FREE,0,,,37,,0out_0in
352270,26650,8591,191029827,work,mandatory,65867.0,60829,6.0,6.0,WALK_LOC,0,,,19,no_subtours,0out_2in
352303,26670,8592,191029827,school,mandatory,65867.0,60829,6.0,6.0,SHARED3FREE,0,,,19,,0out_0in
352344,26690,8593,191029827,school,mandatory,60839.0,60829,7.0,7.0,WALK,0,,,37,,0out_0in
352385,26700,8594,191029827,school,mandatory,60839.0,60829,7.0,7.0,BIKE,0,,,37,,0out_0in
352426,26710,8595,191029827,school,mandatory,61465.0,60829,8.0,8.0,BIKE,0,,,54,,0out_0in
352475,26720,8596,191029834,work,mandatory,20035.0,11618,8.0,8.0,WALK_LR,0,,,54,no_subtours,0out_0in
352967,26800,8608,191029904,work,mandatory,30988.0,6657,10.0,10.0,DRIVEALONEFREE,0,,,85,no_subtours,2out_1in
353828,26870,8629,191030151,work,mandatory,11618.0,17048,9.0,9.0,WALK_LOC,0,,,70,no_subtours,0out_0in
353869,26890,8630,191030151,work,mandatory,34504.0,17048,9.0,9.0,DRIVEALONEFREE,0,,,70,no_subtours,0out_1in
353951,26900,8632,191030199,work,mandatory,15448.0,766,7.0,7.0,WALK_LOC,0,,,37,no_subtours,0out_0in
354033,26910,8634,191030238,work,mandatory,9535.0,18087,8.0,8.0,WALK_LR,0,,,54,no_subtours,0out_0in
354074,26920,8635,191030238,work,mandatory,12152.0,18087,8.0,8.0,WALK_LOC,0,,,54,no_subtours,0out_0in
354361,26930,8642,191030306,work,mandatory,33878.0,15682,9.0,9.0,WALK,0,,,70,no_subtours,0out_1in
354689,26970,8650,191030446,work,mandatory,40860.0,42002,9.0,9.0,DRIVEALONEFREE,0,,,70,no_subtours,0out_0in
354690,26990,8650,191030446,work,mandatory,40860.0,42002,14.0,14.0,DRIVEALONEFREE,0,,,135,no_subtours,0out_0in
354730,27000,8651,191030446,work,mandatory,52747.0,42002,8.0,8.0,DRIVEALONEFREE,0,,,54,no_subtours,0out_0in
357108,27100,8709,191031010,work,mandatory,16147.0,23679,8.0,8.0,DRIVEALONEFREE,0,,,54,no_subtours,0out_0in
357518,27110,8719,191031159,work,mandatory,17963.0,21465,8.0,8.0,WALK_LOC,0,,,54,no_subtours,2out_0in
357928,27140,8729,191031235,work,mandatory,56594.0,29881,8.0,8.0,DRIVEALONEFREE,0,,,54,no_subtours,0out_0in
357969,27170,8730,191031235,work,mandatory,8422.0,29881,6.0,6.0,DRIVEALONEFREE,0,,,19,no_subtours,0out_0in
358461,27230,8742,191031393,work,mandatory,5978.0,25924,5.0,5.0,WALK_LOC,0,,,0,no_subtours,0out_2in
358502,27240,8743,191031428,work,mandatory,26814.0,7720,9.0,9.0,DRIVEALONEFREE,0,,,70,no_subtours,0out_0in
358543,27260,8744,191031442,work,mandatory,3186.0,19884,9.0,9.0,DRIVEALONEFREE,0,,,70,no_subtours,0out_0in
358666,27270,8747,191031457,work,mandatory,32396.0,20992,6.0,6.0,DRIVEALONEFREE,0,,,19,no_subtours,1out_0in
