household_id,home_zone_id,income,hhsize,HHT,auto_ownership,num_workers
806,38356,125000,2,1,4,1
807,38245,125000,2,1,1,0
808,36284,87500,1,1,0,1
809,36384,87500,2,1,2,2
810,43838,125000,1,1,1,1
811,44893,42500,2,1,2,2
812,49206,42500,1,1,2,1
813,50631,87500,4,1,3,3
814,38041,17500,1,1,1,0
815,36580,62500,4,1,3,1
816,46920,125000,1,1,3,0
817,42917,-1,2,1,2,2
818,51865,87500,3,1,2,2
819,36820,87500,1,1,1,1
820,38232,17500,1,1,1,0
821,47511,62500,1,1,2,1
822,38037,87500,2,1,2,1
823,37924,62500,1,1,1,1
824,54730,62500,2,1,2,2
825,43801,-1,2,1,1,2
826,54730,62500,1,1,1,1
827,54387,125000,2,1,2,2
828,41593,-1,1,1,1,0
829,40259,175000,2,1,3,1
830,43368,87500,4,1,2,2
831,35989,62500,2,1,1,1
832,44639,125000,2,1,2,0
833,43992,42500,1,1,1,0
834,49552,125000,2,1,2,2
835,49547,17500,1,1,0,1
836,46418,42500,2,1,2,1
837,31373,42500,4,1,2,2
838,37564,125000,2,1,2,0
839,36680,87500,3,1,2,2
840,46981,125000,1,1,1,1
841,51516,125000,5,1,2,2
842,51944,62500,2,1,2,1
843,40490,125000,3,1,3,3
844,42402,-1,2,1,2,0
845,41310,42500,2,1,1,1
846,45553,175000,1,1,2,0
847,43629,-1,3,1,2,1
848,41964,62500,1,1,2,0
849,51206,175000,3,1,3,3
850,40281,175000,2,1,1,0
851,48530,-1,2,1,3,0
852,43277,125000,1,1,1,1
853,50147,62500,5,1,2,2
854,52494,17500,1,1,0,0
855,54535,125000,2,1,7,2
856,48146,-1,2,1,2,0
857,40415,125000,3,1,2,2
858,41261,30000,1,1,1,1
859,41261,42500,1,1,1,1
860,41370,87500,1,1,1,1
861,42400,62500,2,1,1,2
862,48259,42500,2,1,1,0
863,45304,30000,1,1,1,0
864,40691,125000,4,1,2,2
865,42331,62500,2,1,1,1
866,45142,125000,2,1,2,2
867,40837,62500,2,1,3,1
868,52344,-1,2,1,0,0
869,48788,87500,5,1,1,1
870,47076,87500,6,1,3,2
871,51943,42500,1,1,1,0
