household_id,home_zone_id,income,hhsize,HHT,auto_ownership,num_workers,joint_tour_frequency
329,19114,87500,2,1,2,1,0_tours
330,33320,175000,2,1,2,2,0_tours
331,33320,87500,2,1,1,2,0_tours
332,32480,125000,2,1,1,2,0_tours
333,12904,87500,4,1,2,1,1_Visit
335,29657,42500,1,1,0,0,0_tours
336,1648,62500,1,1,1,1,0_tours
337,1648,17500,2,1,1,2,0_tours
338,1648,250000,1,1,1,1,0_tours
339,1648,-1,2,1,2,2,0_tours
340,1648,125000,1,1,3,0,0_tours
341,20955,-1,1,1,1,0,0_tours
342,25219,87500,2,1,1,2,0_tours
343,19031,225000,4,1,3,2,0_tours
344,28834,175000,2,1,2,2,0_tours
345,696,42500,4,1,1,1,0_tours
346,27155,175000,2,1,1,2,0_tours
347,5362,62500,2,1,1,0,0_tours
348,3759,225000,2,1,2,2,0_tours
349,3759,175000,2,1,2,0,0_tours
350,61196,125000,1,1,1,1,0_tours
351,25052,125000,2,1,2,2,0_tours
352,34042,-1,2,1,2,2,0_tours
353,2892,17500,1,1,0,0,0_tours
354,2892,17500,1,1,0,0,0_tours
355,16343,87500,2,1,2,2,0_tours
356,16343,175000,2,1,2,1,0_tours
357,16343,-1,1,1,1,1,0_tours
358,16343,-1,3,1,0,1,0_tours
359,16343,175000,2,1,1,2,0_tours
360,5804,87500,4,1,2,1,0_tours
361,5804,250000,2,1,2,2,0_tours
362,5804,175000,1,1,0,1,0_tours
363,5804,42500,1,1,1,1,0_tours
364,5804,87500,2,1,2,1,0_tours
365,5804,87500,1,1,1,1,0_tours
366,5804,42500,1,1,1,1,0_tours
367,5804,62500,3,1,1,1,0_tours
368,5804,125000,2,1,1,2,0_tours
369,22757,42500,1,1,0,1,0_tours
370,29671,42500,2,1,0,1,0_tours
371,22704,125000,1,1,1,0,0_tours
372,25924,87500,2,1,2,1,0_tours
373,25924,175000,1,1,1,1,0_tours
374,34945,225000,3,1,2,1,0_tours
375,63475,125000,4,1,2,2,0_tours
376,4361,175000,1,1,1,1,0_tours
377,16715,-1,2,1,1,0,0_tours
378,21811,87500,1,1,0,1,0_tours
379,18549,42500,1,1,0,1,0_tours
380,58588,250000,2,1,3,0,0_tours
381,19634,5000,4,1,0,0,0_tours
382,13191,62500,1,1,1,1,0_tours
383,21437,87500,1,1,1,1,0_tours
384,21437,-1,1,1,1,0,0_tours
385,21437,62500,1,1,1,1,0_tours
386,3189,125000,2,1,1,1,0_tours
387,9528,62500,1,1,0,1,0_tours
388,3189,175000,2,1,0,2,0_tours
389,5720,30000,1,1,0,1,0_tours
390,21437,175000,2,1,2,2,0_tours
391,18634,175000,2,1,1,0,0_tours
392,13680,42500,2,1,0,0,0_tours
393,13680,62500,1,1,0,1,0_tours
394,13680,125000,2,1,1,2,0_tours
395,34606,125000,2,1,1,1,0_tours
396,14627,125000,3,1,1,2,0_tours
397,4061,175000,2,1,2,2,0_tours
398,4061,-1,1,1,0,1,0_tours
399,4061,250000,1,1,0,1,0_tours
400,26952,175000,3,1,1,2,0_tours
401,30381,125000,1,1,2,0,0_tours
402,7634,125000,1,1,1,1,0_tours
403,16857,-1,1,1,1,0,0_tours
404,17002,17500,1,1,1,1,0_tours
405,27331,225000,2,1,1,1,0_tours
406,3366,42500,1,1,1,1,0_tours
407,30128,-1,2,1,2,0,0_tours
408,25937,30000,1,1,1,0,0_tours
409,28561,62500,1,1,1,1,0_tours
410,6606,175000,2,1,0,1,0_tours
411,6606,-1,1,1,1,1,0_tours
412,17049,87500,4,1,1,2,0_tours
413,16463,30000,1,1,1,1,0_tours
414,18261,225000,1,1,1,0,0_tours
415,2894,17500,1,1,0,1,0_tours
416,27424,125000,1,1,1,1,0_tours
417,8952,17500,1,1,1,1,0_tours
418,21668,62500,1,1,1,1,0_tours
419,30935,175000,2,1,2,2,0_tours
420,14183,125000,1,1,1,1,0_tours
421,14183,62500,2,1,1,0,0_tours
422,13940,125000,3,1,1,2,0_tours
423,31541,30000,2,1,1,2,0_tours
424,14520,125000,2,1,2,2,0_tours
425,1878,62500,1,1,1,1,0_tours
426,31219,87500,2,1,2,2,0_tours
427,608,87500,1,1,1,1,0_tours
428,30403,225000,4,1,1,1,1_Eat
429,27865,125000,2,1,4,1,0_tours
430,21932,42500,1,1,1,0,0_tours
431,62847,87500,1,1,1,1,0_tours
432,938,87500,2,1,1,1,0_tours
433,11620,225000,2,1,1,0,0_tours
434,65203,125000,4,1,2,4,0_tours
435,849,17500,2,1,1,2,0_tours
436,33098,17500,2,1,0,0,0_tours
437,13191,87500,2,1,1,2,0_tours
438,8804,175000,2,1,2,2,0_tours
439,8804,125000,2,1,1,2,0_tours
440,28370,62500,1,1,1,1,0_tours
441,19131,62500,2,1,2,1,0_tours
442,31522,17500,1,1,1,0,0_tours
443,24813,225000,2,1,2,2,0_tours
444,33301,17500,1,1,0,1,0_tours
445,4354,87500,2,1,1,2,0_tours
446,23739,87500,1,1,1,1,0_tours
447,13139,125000,2,1,1,1,0_tours
448,11620,-1,2,1,1,2,0_tours
449,11620,250000,1,1,1,1,0_tours
450,11620,62500,2,1,1,1,0_tours
451,22716,87500,1,1,1,1,0_tours
452,1349,125000,3,1,2,2,0_tours
453,32274,42500,2,1,1,2,0_tours
454,25628,62500,1,1,1,1,0_tours
455,25860,125000,2,1,4,2,0_tours
456,31283,17500,2,1,1,0,0_tours
457,12525,125000,2,1,3,1,0_tours
458,17523,225000,3,1,2,1,0_tours
459,23679,62500,1,1,1,1,0_tours
460,23679,62500,2,1,1,2,0_tours
461,23101,250000,4,1,2,1,0_tours
462,27728,225000,2,1,1,2,0_tours
463,33077,125000,2,1,2,2,0_tours
464,29653,125000,1,1,1,1,0_tours
465,7944,62500,2,1,1,2,0_tours
466,15847,5000,2,1,1,1,0_tours
467,15847,-1,1,1,1,0,0_tours
468,15847,-1,4,1,1,1,0_tours
469,30985,30000,2,1,1,0,0_tours
470,30985,225000,2,1,3,0,0_tours
471,30985,-1,2,1,1,0,0_tours
472,30985,-1,1,1,1,0,0_tours
473,30985,250000,1,1,1,0,0_tours
474,30985,225000,1,1,1,1,0_tours
475,30985,250000,1,1,1,1,0_tours
476,30985,250000,2,1,1,1,0_tours
477,15998,125000,2,1,1,2,0_tours
478,16187,42500,3,1,1,3,0_tours
479,17049,62500,2,1,2,1,0_tours
480,21972,225000,4,1,2,2,0_tours
481,25863,5000,3,1,1,0,0_tours
482,10321,62500,2,1,0,2,0_tours
483,24492,175000,2,1,2,2,0_tours
484,65106,-1,1,1,0,0,0_tours
485,33321,17500,1,1,0,1,0_tours
486,33321,125000,1,1,0,1,0_tours
487,62110,62500,3,1,2,2,0_tours
488,7971,62500,1,1,1,0,0_tours
489,13673,62500,1,1,0,1,0_tours
490,27206,62500,2,1,1,1,0_tours
491,27481,250000,1,1,1,1,0_tours
492,1479,17500,3,1,1,1,1_Disc
493,29881,175000,2,1,1,2,0_tours
494,15451,5000,1,1,0,0,0_tours
495,15451,62500,1,1,0,1,0_tours
496,5035,175000,2,1,2,2,0_tours
497,23547,87500,2,1,2,2,0_tours
498,7635,87500,1,1,0,1,0_tours
499,27749,250000,3,1,1,2,0_tours
500,61834,250000,5,1,3,1,0_tours
501,12098,5000,2,1,1,1,0_tours
502,65929,125000,2,1,2,0,0_tours
503,17042,62500,1,1,1,1,0_tours
