person_id,household_id,age,PNUM,sex,pemploy,pstudent,ptype,school_zone_id,workplace_zone_id,free_parking_at_work,cdap_activity,mandatory_tour_frequency,_escort,_shopping,_othmaint,_othdiscr,_eatout,_social,non_mandatory_tour_frequency
13631,8122,40,1,2,2,3,2,-1.0,5626.0,0,H,,0,0,0,0,0,0,0
11750,8121,40,1,1,3,3,4,-1.0,-1.0,0,N,,0,0,0,0,0,1,2
11751,8121,30,2,2,3,3,4,-1.0,-1.0,0,N,,0,0,0,0,0,1,2
11417,8120,40,1,1,3,2,3,12926.0,-1.0,0,M,school1,0,0,0,0,0,0,0
11418,8120,40,2,2,3,3,4,-1.0,-1.0,0,H,,0,0,0,0,0,0,0
11419,8120,2,3,1,3,3,8,-1.0,-1.0,0,H,,0,0,0,0,0,0,0
12632,8119,40,1,1,1,3,1,-1.0,18493.0,0,N,,0,1,0,0,0,0,16
11549,8118,50,1,1,1,3,1,-1.0,22443.0,1,M,work1,0,0,0,1,0,0,1
11550,8118,50,2,2,2,3,2,-1.0,26908.0,0,M,work1,0,1,0,0,0,0,16
11551,8118,8,3,1,3,1,7,33553.0,-1.0,0,N,,0,0,0,1,0,0,1
11552,8118,8,4,2,3,1,7,33553.0,-1.0,0,N,,0,0,0,1,0,0,1
10706,8117,70,1,1,3,3,5,-1.0,-1.0,0,N,,0,0,1,0,0,0,8
10707,8117,70,2,2,3,3,5,-1.0,-1.0,0,N,,0,0,0,0,1,0,4
12829,8116,30,1,2,1,3,1,-1.0,14871.0,0,H,,0,0,0,0,0,0,0
12830,8116,30,2,1,1,3,1,-1.0,12598.0,0,M,work1,0,0,0,0,0,0,0
11792,8115,30,1,1,1,3,1,-1.0,14892.0,0,H,,0,0,0,0,0,0,0
11793,8115,30,2,2,1,3,1,-1.0,9807.0,0,M,work1,0,0,0,1,0,0,1
14058,8114,70,1,1,3,3,5,-1.0,-1.0,0,N,,0,0,0,0,2,0,4
11085,8113,40,1,2,1,3,1,-1.0,33803.0,0,H,,0,0,0,0,0,0,0
11086,8113,17,2,1,3,1,6,23842.0,-1.0,0,H,,0,0,0,0,0,0,0
14091,8112,30,1,1,1,3,1,-1.0,2881.0,1,H,,0,0,0,0,0,0,0
14092,8112,30,2,2,3,3,4,-1.0,-1.0,0,N,,0,0,0,1,0,0,1
12270,8111,70,1,2,3,3,5,-1.0,-1.0,0,N,,0,1,0,0,0,1,18
14192,8110,50,1,2,1,3,1,-1.0,34637.0,0,H,,0,0,0,0,0,0,0
12089,8109,60,1,2,1,3,1,-1.0,16227.0,0,M,work1,0,0,0,0,0,0,0
12090,8109,50,2,1,2,2,3,16758.0,15466.0,0,M,work1,0,0,0,0,0,0,0
11094,8108,30,1,2,1,3,1,-1.0,25634.0,0,N,,0,0,0,1,0,0,1
11955,8107,30,1,2,2,3,2,-1.0,9130.0,0,M,work1,0,0,0,0,0,0,0
11145,8106,40,1,2,1,3,1,-1.0,19800.0,0,M,work1,0,0,0,0,0,0,0
11146,8106,50,2,1,1,3,1,-1.0,33491.0,0,H,,0,0,0,0,0,0,0
13788,8105,30,1,1,1,3,1,-1.0,24043.0,0,M,work1,0,0,0,0,0,0,0
13789,8105,30,2,2,1,3,1,-1.0,12152.0,0,M,work1,0,0,0,0,0,0,0
11172,8104,50,1,1,1,3,1,-1.0,16863.0,0,H,,0,0,0,0,0,0,0
11173,8104,40,2,2,3,3,4,-1.0,-1.0,0,N,,1,0,1,0,0,0,40
11174,8104,8,3,2,3,1,7,23895.0,-1.0,0,M,school1,0,0,0,0,0,0,0
13964,8103,80,1,2,3,3,5,-1.0,-1.0,0,N,,1,0,0,1,0,0,33
11040,8102,60,1,2,1,3,1,-1.0,12535.0,0,M,work1,0,1,0,0,0,0,16
15052,8101,30,1,1,1,3,1,-1.0,62918.0,0,M,work1,0,0,0,0,0,0,0
12297,8100,30,1,2,1,3,1,-1.0,9537.0,1,M,work1,0,1,0,0,0,0,16
12298,8100,30,2,1,3,3,4,-1.0,-1.0,0,N,,0,0,0,0,1,0,4
13635,8099,80,1,1,3,3,5,-1.0,-1.0,0,H,,0,0,0,0,0,0,0
13636,8099,80,2,2,3,3,5,-1.0,-1.0,0,H,,0,0,0,0,0,0,0
11195,8098,30,1,1,1,3,1,-1.0,10538.0,0,N,,0,0,0,1,0,1,3
11196,8098,30,2,2,1,3,1,-1.0,7755.0,1,N,,0,0,0,1,0,0,1
12553,8097,40,1,2,1,3,1,-1.0,29397.0,0,H,,0,0,0,0,0,0,0
12820,8096,40,1,1,1,3,1,-1.0,17734.0,0,H,,0,0,0,0,0,0,0
14120,8095,60,1,2,3,3,4,-1.0,-1.0,0,H,,0,0,0,0,0,0,0
12071,8094,30,1,2,1,3,1,-1.0,18756.0,1,M,work1,0,0,0,0,0,0,0
13474,8093,30,1,2,1,3,1,-1.0,56296.0,0,M,work1,0,0,0,0,1,0,4
13475,8093,30,2,1,1,3,1,-1.0,14261.0,0,M,work1,0,0,0,0,1,0,4
13476,8093,2,3,1,3,3,8,-1.0,-1.0,0,N,,0,0,0,0,1,0,4
14260,8092,30,1,1,1,3,1,-1.0,32547.0,0,H,,0,0,0,0,0,0,0
14261,8092,30,2,2,3,3,4,-1.0,-1.0,0,N,,0,0,0,1,0,0,1
11866,8091,60,1,2,1,3,1,-1.0,31460.0,0,M,work1,0,0,0,0,0,0,0
11868,8090,40,1,1,1,3,1,-1.0,2076.0,0,H,,0,0,0,0,0,0,0
10518,8089,30,1,2,1,3,1,-1.0,18493.0,0,H,,0,0,0,0,0,0,0
10519,8089,30,2,1,1,3,1,-1.0,1876.0,0,H,,0,0,0,0,0,0,0
11592,8088,60,1,2,2,3,2,-1.0,17060.0,0,H,,0,0,0,0,0,0,0
10726,8087,40,1,2,1,3,1,-1.0,22701.0,0,N,,0,0,0,1,0,0,1
10727,8087,50,2,1,1,3,1,-1.0,31733.0,0,H,,0,0,0,0,0,0,0
14452,8086,30,1,2,1,3,1,-1.0,6152.0,0,M,work1,0,0,0,0,0,0,0
14225,8085,40,1,1,1,3,1,-1.0,34641.0,0,H,,0,0,0,0,0,0,0
13359,8083,30,1,2,1,3,1,-1.0,23745.0,0,H,,0,0,0,0,0,0,0
13360,8083,30,2,1,3,3,4,-1.0,-1.0,0,H,,0,0,0,0,0,0,0
11962,8082,70,1,2,3,3,5,-1.0,-1.0,0,N,,0,0,1,0,0,0,8
11963,8082,60,2,1,3,3,4,-1.0,-1.0,0,N,,0,0,1,0,0,0,8
11486,8081,70,1,2,3,3,5,-1.0,-1.0,0,N,,0,0,1,0,0,0,8
13738,8080,70,1,2,3,3,5,-1.0,-1.0,0,N,,0,0,0,0,0,1,2
14838,8079,70,1,1,2,3,2,-1.0,55478.0,0,H,,0,0,0,0,0,0,0
14216,8078,21,1,2,1,3,1,-1.0,8328.0,0,H,,0,0,0,0,0,0,0
14965,8077,70,1,2,3,3,5,-1.0,-1.0,0,N,,0,0,1,0,0,0,8
10696,8076,40,1,1,1,3,1,-1.0,21446.0,0,N,,0,0,1,0,0,0,8
10697,8076,50,2,2,2,3,2,-1.0,12662.0,0,H,,0,0,0,0,0,0,0
13373,8075,50,1,2,3,3,4,-1.0,-1.0,0,N,,0,0,1,0,0,0,8
13374,8075,21,2,1,1,3,1,-1.0,32318.0,0,M,work1,0,0,0,0,0,0,0
13791,8074,21,1,1,1,3,1,-1.0,23191.0,0,M,work1,0,0,0,0,0,0,0
13792,8074,21,2,2,1,3,1,-1.0,25857.0,0,M,work1,0,0,0,0,0,0,0
14238,8073,80,1,2,3,3,5,-1.0,-1.0,1,N,,0,0,0,2,0,0,1
14992,8072,40,1,1,1,3,1,-1.0,65680.0,0,N,,0,0,0,1,0,0,1
14993,8072,40,2,2,2,3,2,-1.0,63564.0,0,M,work1,0,0,0,0,0,0,0
14994,8072,8,3,1,3,1,7,56597.0,-1.0,0,H,,0,0,0,0,0,0,0
10956,8071,30,1,1,1,2,2,23535.0,7211.0,0,H,,0,0,0,0,0,0,0
13555,8070,30,1,2,1,3,1,-1.0,22438.0,0,H,,0,0,0,0,0,0,0
13556,8070,30,2,1,3,3,4,-1.0,-1.0,0,N,,0,0,0,0,0,1,2
12600,8069,30,1,1,1,3,1,-1.0,8482.0,0,N,,0,0,0,0,1,0,4
14211,8068,40,1,1,3,3,4,-1.0,-1.0,0,H,,0,0,0,0,0,0,0
14212,8068,40,2,1,1,3,1,-1.0,1737.0,0,M,work1,0,1,0,0,0,0,16
13285,8067,80,1,2,3,3,5,-1.0,-1.0,0,N,,0,0,0,1,0,0,1
13737,8066,50,1,2,1,3,1,-1.0,7037.0,0,M,work1,0,0,0,0,0,0,0
13828,8065,30,1,1,1,3,1,-1.0,56594.0,0,N,,0,0,0,1,0,0,1
13829,8065,21,2,2,1,3,1,-1.0,8422.0,0,M,work1,0,0,0,0,0,0,0
10645,8064,30,1,1,1,3,1,-1.0,33614.0,0,H,,0,0,0,0,0,0,0
10646,8064,30,2,2,1,3,1,-1.0,18882.0,0,H,,0,0,0,0,0,0,0
