,tlvorig,origin,topcl,toadtyp,tarorig,household_id,person_id,day,tour_type,tripsh1,tripsh2,tdadtyp,destination,tdpcl,tardest,tlvdest,parent_tour_id,subtrs,tour_id,tour_mode,tdtaz,tour_category,start,end,mandatory_status,tour_type_num,tour_type_id,loc_tour_id,PNUM,joint_tour,participant_num,outbound_stops,inbound_stops,stop_frequency
5794,1025,12125,48072.0,Home,1306,191050860_2,19105086002_2,Thursday,othmaint,1,5,other,15688.0,1072751.0,1306,1025,0,0,6022,SHARED2FREE,,non_mandatory,17.0,17.0,non_mandatory,1,28,othmaint1,2,5795.0,2,0,4,0out_4in
5799,630,20612,950078.0,Home,1120,191050987_2,19105098701_2,Thursday,social,5,1,other,10241.0,1179984.0,1120,725,0,0,6027,WALK_LOC,,non_mandatory,10.0,10.0,non_mandatory,1,36,social1,1,5800.0,1,4,0,4out_0in
5832,442,27159,77775.0,Home,1256,191051613_2,19105161301_2,Thursday,shopping,5,1,other,3382.0,854797.0,1256,939,0,0,6061,WALK_LOC,,non_mandatory,7.0,7.0,non_mandatory,1,33,shopping1,1,5833.0,1,4,0,4out_0in
5852,491,33011,855776.0,Home,1301,191051935_2,19105193503_2,Thursday,social,6,2,other,24216.0,655969.0,1301,1025,0,0,6082,WALK_LOC,,non_mandatory,8.0,8.0,non_mandatory,1,36,social1,3,5853.0,3,5,1,5out_1in
5923,466,47096,479842.0,Home,1024,192001145_2,19200114502_2,Thursday,work,7,2,other,5983.0,676544.0,1024,705,0,0,6156,DRIVEALONEFREE,,mandatory,7.0,7.0,mandatory,1,39,work1,2,5924.0,2,6,1,6out_1in
6015,435,45495,512631.0,Home,925,192003661_2,19200366101_2,Thursday,othdiscr,5,2,other,50546.0,367987.0,925,680,0,0,6250,SHARED3FREE,,non_mandatory,7.0,7.0,non_mandatory,1,25,othdiscr1,1,6016.0,1,4,1,4out_1in
6077,268,47112,349552.0,Home,1069,192006099_2,19200609901_2,Thursday,work,1,14,Work,2620.0,734026.0,1069,268,0,0,6313,SHARED2FREE,,mandatory,5.0,5.0,mandatory,1,39,work1,1,6078.0,1,0,13,0out_13in
6109,712,38954,194510.0,Home,1165,192007364_2,19200736401_2,Thursday,social,6,1,other,36943.0,403557.0,1165,995,0,0,6345,DRIVEALONEFREE,,non_mandatory,11.0,11.0,non_mandatory,1,36,social1,1,6110.0,1,5,0,5out_0in
6182,556,65540,749106.0,Home,1128,192010950_2,19201095002_2,Thursday,work,7,4,other,62291.0,990822.0,1128,860,0,0,6420,DRIVEALONEFREE,,mandatory,9.0,9.0,mandatory,1,39,work1,2,6183.0,2,6,3,6out_3in
6204,570,47892,542607.0,Home,920,192012081_2,19201208102_2,Thursday,work,3,5,other,47072.0,502816.0,920,615,0,0,6443,DRIVEALONEFREE,,mandatory,9.0,9.0,mandatory,1,39,work1,2,6205.0,2,2,4,2out_4in
6214,388,49175,347630.0,Home,1207,192013009_2,19201300901_2,Thursday,escort,1,11,other,8674.0,1029794.0,1207,388,0,0,6454,DRIVEALONEFREE,,non_mandatory,6.0,6.0,non_mandatory,1,9,escort1,1,6215.0,1,0,10,0out_10in
6282,707,42729,189723.0,Home,997,192015332_2,19201533201_2,Thursday,shopping,3,6,other,45783.0,366419.0,997,775,0,0,6521,SHARED3FREE,,non_mandatory,11.0,11.0,non_mandatory,2,34,shopping2,1,6283.0,1,2,5,2out_5in
6283,709,42729,483832.0,Home,997,192015332_2,19201533202_2,Thursday,othdiscr,1,8,other,48954.0,320041.0,997,709,0,0,6523,SHARED3FREE,,non_mandatory,11.0,11.0,non_mandatory,1,25,othdiscr1,2,6284.0,2,0,7,0out_7in
6289,273,52937,439212.0,Home,1159,192015576_2,19201557601_2,Thursday,work,1,5,Work,43504.0,192035.0,1159,273,0,0,6529,DRIVEALONEFREE,,mandatory,5.0,5.0,mandatory,1,39,work1,1,6290.0,1,0,4,0out_4in
6292,920,53386,314482.0,Home,1035,192015726_2,19201572601_2,Thursday,othdiscr,1,5,other,53260.0,190605.0,1035,920,0,0,6533,SHARED3FREE,,non_mandatory,15.0,15.0,non_mandatory,1,25,othdiscr1,1,6293.0,1,0,4,0out_4in
6299,920,53386,314482.0,Home,1035,192015726_2,19201572604_2,Thursday,school,1,5,other,53260.0,190605.0,1035,920,0,0,6541,SHARED3FREE,,mandatory,15.0,15.0,mandatory,2,32,school2,4,6300.0,4,0,4,0out_4in
6346,455,672,957079.0,Home,1065,192017039_2,19201703901_2,Thursday,work,3,5,Work,3367.0,1111163.0,1065,475,0,0,6589,BIKE,,mandatory,7.0,7.0,mandatory,1,39,work1,1,6347.0,1,2,4,2out_4in
6364,381,54061,191957.0,Home,1032,192017801_2,19201780102_2,Thursday,work,1,5,Work,1614.0,834366.0,1032,381,0,0,6606,SHARED2FREE,,mandatory,6.0,6.0,mandatory,1,39,work1,2,6365.0,2,0,4,0out_4in
2705,750,50875,293280.0,Home,1220,17145438_2,1714543801_2,Thursday,eatout,7,1,other,50293.0,,1220,990,0,0,2821,SHARED2FREE,,non_mandatory,12.0,12.0,non_mandatory,1,6,eatout1,1,,0,6,0,6out_0in
2707,750,50875,293280.0,Home,1220,17145438_2,1714543802_2,Thursday,eatout,7,1,other,50293.0,,1220,990,0,0,2822,SHARED3FREE,,non_mandatory,12.0,12.0,non_mandatory,1,6,eatout1,2,,0,6,0,6out_0in
